intent,query,response
วันสอบทั้งหมด,สอบวันไหน,ในภาคการศึกษาที่ 1/2564 วันสอบกลางภาคถูกจัดขึ้นในช่วงวันที่ 7-13 สิงหาคม พ.ศ.2564 และวันสอบปลายภาคถูกจัดขึ้นในช่วงวันที่ 9-21 ตุลาคม พ.ศ.2564 ครับ สามารถดูเพิ่มเติมได้ที่ http://www.regis.sci.psu.ac.th/images/doc/exam/Guideline-Midterm2564.pdf ครับ
วันสอบทั้งหมด,สอบวันไหน,
วันสอบทั้งหมด,สอบวันไหนครับ,
วันสอบทั้งหมด,สอบวันไหนครับ,
วันสอบทั้งหมด,สอบกลาภาควันไหนหรอคะ,
วันสอบทั้งหมด,สอบวันไหนเอ่ย,
วันสอบทั้งหมด,สอบวันไหนวันไหนอะ,
วันสอบทั้งหมด,สอบเมื่อไหร,
วันสอบทั้งหมด,สอบเมื่อไหร่,
วันสอบทั้งหมด,สอบบวันไหน,
