intent,query,response
วันสอบกลางภาค,สอบมิดเทอมวันไหน,ในภาคการศึกษาที่ 1/2564 วันสอบกลางภาคถูกจัดขึ้นในช่วงวันที่ 7-13 สิงหาคม พ.ศ.2564 ครับ และสามารถดูเพิ่มเติมได้ที่ http://www.regis.sci.psu.ac.th/images/doc/exam/Guideline-Midterm2564.pdf ครับ
วันสอบกลางภาค,มิดเทอมวันไหน,
วันสอบกลางภาค,สอบมิดเทอมวันไหน,
วันสอบกลางภาค,สอบมิดเทอมวันไหน,
วันสอบกลางภาค,วันสอบมิดเทอมวันไหน,
วันสอบกลางภาค,สอบมิดเทอมวันไหน,
วันสอบกลางภาค,สอบกลางภาค,
วันสอบกลางภาค,กลางภาคสอบวันไหน,
วันสอบกลางภาค,กลางภาคเริ่มสอบวันไหน,
วันสอบกลางภาค,สอบกลางภาควันไหน,
วันสอบกลางภาค,ขอวันสอบกลางภาคหน่อย,
วันสอบกลางภาค,สอบกลางภาควันไหน,
วันสอบกลางภาค,วันสอบ midterm ,
วันสอบกลางภาค,สอบ midterm วันไหน,
วันสอบกลางภาค,สอบ midterm วันไหน,
วันสอบกลางภาค,สอบ midterm วันไหน,
วันสอบกลางภาค,midterm วันไหน,
วันสอบกลางภาค,midterm วันไหน,
วันสอบกลางภาค,สอบมิดเทอมเมื่อไหร่,
วันสอบกลางภาค,กลางภาคสอบเมื่อไร,
วันสอบกลางภาค,สอบกลางภาคเมื่อไร,
วันสอบกลางภาค,สอบกลางภาคตอนไหน,
วันสอบกลางภาค,กลางภาคสอบตอนไหน,
วันสอบกลางภาค,กลางภาควันไหน,
วันสอบกลางภาค,กลางภาคเมื่อไหร,
วันสอบกลางภาค,midterm เมื่อไหร,
วันสอบกลางภาค,วันสอบ midterm ],
